Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"Andreas PereiraFlamengo, 26, M(CLR)","149Andreas PereiraFlamengo, 26, M(CLR)",  ,5(2),441.0,0.4,0.4,1.3,-,0.6,1.3,-,-,6.6,"149Andreas PereiraFlamengo, 26, M(CLR)",  ,5(2),441.0,2,1,2,0.7,0.6,0.3,0.1,0.7,1.3,6.6,"149Andreas PereiraFlamengo, 26, M(CLR)",  ,5(2),441.0,1,0.7,28.6,79.5,0.9,1.4,-,6.6,"149Andreas PereiraFlamengo, 26, M(CLR)",  ,5(2),441.0,2,1,1,-,2,79.5,0.7,1,6.6
"Lucas FernandesBotafogo RJ, 24, M(CL),FW","151Lucas FernandesBotafogo RJ, 24, M(CL),FW",  ,7(2),603.0,1,0.4,1,-,0.1,0.9,-,-,6.6,"151Lucas FernandesBotafogo RJ, 24, M(CL),FW",  ,7(2),603.0,-,1,2,1.2,1,0.8,-,0.9,1.2,6.6,"151Lucas FernandesBotafogo RJ, 24, M(CL),FW",  ,7(2),603.0,1,1.2,38.0,87.7,0.7,1.4,0.1,6.6,"151Lucas FernandesBotafogo RJ, 24, M(CL),FW",  ,7(2),603.0,-,1,1,-,2,87.7,0.6,-,6.6
"AlêAmerica MG, 32, M(C)","152AlêAmerica MG, 32, M(C)",  ,6,474.0,1.7,1,1.8,-,0.8,1.2,-,-,6.6,"152AlêAmerica MG, 32, M(C)",  ,6,474.0,-,1,1,0.8,0.8,2.5,-,0.5,1.2,6.6,"152AlêAmerica MG, 32, M(C)",  ,6,474.0,1,0.8,42.5,84.3,0.2,3,-,6.6,"152AlêAmerica MG, 32, M(C)",  ,6,474.0,-,1,-,-,1,84.3,1.3,-,6.6
"ÉlvisGoias, 31, AM(C)","153ÉlvisGoias, 31, AM(C)",  ,5(2),376.0,0.6,0.6,1.1,-,0.1,0.6,-,-,6.6,"153ÉlvisGoias, 31, AM(C)",  ,5(2),376.0,2,-,0.6,1.3,0.3,0.9,-,0.6,0.9,6.6,"153ÉlvisGoias, 31, AM(C)",  ,5(2),376.0,-,1.3,33.4,80.3,1.6,3.7,-,6.6,"153ÉlvisGoias, 31, AM(C)",  ,5(2),376.0,2,-,2,-,0.6,80.3,0.7,-,6.6
"Bruno PachecoCeara, 30, D(L)","154Bruno PachecoCeara, 30, D(L)",  ,8,689.0,1.8,1,0.9,0.3,1.6,1.1,-,-,6.6,"154Bruno PachecoCeara, 30, D(L)",  ,8,689.0,-,-,0.5,0.6,1.4,1.9,0.1,0.5,1,6.6,"154Bruno PachecoCeara, 30, D(L)",  ,8,689.0,-,0.6,35.1,76.2,0.4,0.8,-,6.6,"154Bruno PachecoCeara, 30, D(L)",  ,8,689.0,-,-,2,1,0.5,76.2,1.4,-,6.6
"HugoBotafogo RJ, 20, D(L),M(L)","155HugoBotafogo RJ, 20, D(L),M(L)",  ,4(4),525.0,2.3,1.4,1,0.1,1.6,0.9,0.1,-,6.59,"155HugoBotafogo RJ, 20, D(L),M(L)",  ,4(4),525.0,1,-,0.5,0.8,0.5,0.9,-,0.5,1.5,6.59,"155HugoBotafogo RJ, 20, D(L),M(L)",  ,4(4),525.0,-,0.8,26.0,72.6,0.3,0.6,-,6.59,"155HugoBotafogo RJ, 20, D(L),M(L)",  ,4(4),525.0,1,-,1,1,0.5,72.6,1,-,6.59
"Gabriel MeninoPalmeiras, 21, D(R),M(CR)","156Gabriel MeninoPalmeiras, 21, D(R),M(CR)",  ,3(4),294.0,0.9,0.6,0.9,-,0.7,0.3,-,-,6.59,"156Gabriel MeninoPalmeiras, 21, D(R),M(CR)",  ,3(4),294.0,1,-,0.9,0.7,0.3,0.9,-,0.4,0.6,6.59,"156Gabriel MeninoPalmeiras, 21, D(R),M(CR)",  ,3(4),294.0,-,0.7,22.3,83.3,0.3,2.3,-,6.59,"156Gabriel MeninoPalmeiras, 21, D(R),M(CR)",  ,3(4),294.0,1,-,1,-,0.9,83.3,0.6,-,6.59
"Róger GuedesCorinthians, 25, AM(CLR),FW","157Róger GuedesCorinthians, 25, AM(CLR),FW",  ,9(2),748.0,-,-,0.5,-,0.5,0.3,-,-,6.58,"157Róger GuedesCorinthians, 25, AM(CLR),FW",  ,9(2),748.0,2,1,1.9,0.6,0.5,1.6,0.1,0.6,2,6.58,"157Róger GuedesCorinthians, 25, AM(CLR),FW",  ,9(2),748.0,1,0.6,20.5,82.7,0.1,1.4,-,6.58,"157Róger GuedesCorinthians, 25, AM(CLR),FW",  ,9(2),748.0,2,1,2,-,1.9,82.7,1.1,1,6.58
"UendelCuiaba, 33, D(L)","158UendelCuiaba, 33, D(L)",  ,7(1),631.0,1.5,0.6,1,0.3,1.4,0.5,-,-,6.58,"158UendelCuiaba, 33, D(L)",  ,7(1),631.0,-,1,0.3,1.1,0.6,0.6,-,0.3,0.5,6.58,"158UendelCuiaba, 33, D(L)",  ,7(1),631.0,1,1.1,36.4,75.6,1,2,-,6.58,"158UendelCuiaba, 33, D(L)",  ,7(1),631.0,-,1,-,-,0.3,75.6,1.6,-,6.58
"EversonAtletico MG, 32, GK","159EversonAtletico MG, 32, GK",  ,11,990.0,-,-,-,-,1.5,-,-,-,6.58,"159EversonAtletico MG, 32, GK",  ,11,990.0,-,-,-,0.1,-,0.1,-,-,-,6.58,"159EversonAtletico MG, 32, GK",  ,11,990.0,-,0.1,29.5,77.8,-,5,-,6.58,"159EversonAtletico MG, 32, GK",  ,11,990.0,-,-,-,-,-,77.8,0.1,1,6.58
"Alef MangaCoritiba, 27, AM(R)","161Alef MangaCoritiba, 27, AM(R)",  ,6(4),568.0,0.7,0.4,0.7,-,0.2,0.4,-,-,6.57,"161Alef MangaCoritiba, 27, AM(R)",  ,6(4),568.0,-,1,2.6,1.2,1.7,0.7,0.4,0.7,1.7,6.57,"161Alef MangaCoritiba, 27, AM(R)",  ,6(4),568.0,1,1.2,17.5,81.7,0.5,1.3,-,6.57,"161Alef MangaCoritiba, 27, AM(R)",  ,6(4),568.0,-,1,3,-,2.6,81.7,0.3,-,6.57
"Gabriel BarbosaFlamengo, 25, AM(LR),FW","162Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,8(3),778.0,0.5,-,0.5,-,-,0.6,-,-,6.57,"162Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,8(3),778.0,3,-,1.7,1.2,0.4,0.5,0.4,0.9,0.9,6.57,"162Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,8(3),778.0,-,1.2,21.0,83.5,0.2,0.7,0.3,6.57,"162Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,8(3),778.0,3,-,4,-,1.7,83.5,0.2,-,6.57
"Víctor CantilloCorinthians, 28, DMC","163Víctor CantilloCorinthians, 28, DMC",  ,6(4),498.0,1.1,1.1,0.6,-,0.9,1.1,0.3,-,6.57,"163Víctor CantilloCorinthians, 28, DMC",  ,6(4),498.0,-,-,-,0.3,0.5,1.4,-,0.4,0.6,6.57,"163Víctor CantilloCorinthians, 28, DMC",  ,6(4),498.0,-,0.3,36.3,87.9,0.2,2.1,-,6.57,"163Víctor CantilloCorinthians, 28, DMC",  ,6(4),498.0,-,-,-,-,-,87.9,0.8,-,6.57
"Lucas PitonCorinthians, 21, D(L),M(L)","164Lucas PitonCorinthians, 21, D(L),M(L)",  ,6(2),558.0,1.4,1.1,1.3,0.1,1.6,1.1,0.1,-,6.56,"164Lucas PitonCorinthians, 21, D(L),M(L)",  ,6(2),558.0,1,1,0.4,0.8,0.4,0.4,-,0.4,1.4,6.56,"164Lucas PitonCorinthians, 21, D(L),M(L)",  ,6(2),558.0,1,0.8,34.9,79.9,0.6,1.1,-,6.56,"164Lucas PitonCorinthians, 21, D(L),M(L)",  ,6(2),558.0,1,1,1,-,0.4,79.9,0.8,-,6.56
"RaúlRed Bull Bragantino, 26, D(R),DMC","165RaúlRed Bull Bragantino, 26, D(R),DMC",  ,8(1),696.0,2.4,0.6,1.1,0.2,1.3,0.9,0.3,-,6.56,"165RaúlRed Bull Bragantino, 26, D(R),DMC",  ,8(1),696.0,-,-,0.8,0.1,0.4,1.7,-,0.4,1,6.56,"165RaúlRed Bull Bragantino, 26, D(R),DMC",  ,8(1),696.0,-,0.1,53.3,84.8,0.1,5,0.1,6.56,"165RaúlRed Bull Bragantino, 26, D(R),DMC",  ,8(1),696.0,-,-,1,-,0.8,84.8,0.7,-,6.56
"BressanAvai FC, 29, D(CR)","166BressanAvai FC, 29, D(CR)",  ,7,621.0,0.9,1.6,1.1,0.1,4,0.9,1.3,-,6.56,"166BressanAvai FC, 29, D(CR)",  ,7,621.0,-,-,0.1,0.1,-,0.9,-,-,0.1,6.56,"166BressanAvai FC, 29, D(CR)",  ,7,621.0,-,0.1,52.4,84.7,-,4.7,-,6.56,"166BressanAvai FC, 29, D(CR)",  ,7,621.0,-,-,-,-,0.1,84.7,1.7,-,6.56
"Ramon MenezesAtletico GO, 27, D(C),DMC","167Ramon MenezesAtletico GO, 27, D(C),DMC",  ,7,630.0,0.4,1,0.9,0.1,3.6,0.7,0.9,-,6.56,"167Ramon MenezesAtletico GO, 27, D(C),DMC",  ,7,630.0,-,-,0.6,-,-,-,-,0.1,0.1,6.56,"167Ramon MenezesAtletico GO, 27, D(C),DMC",  ,7,630.0,-,-,47.6,89.5,-,3.9,-,6.56,"167Ramon MenezesAtletico GO, 27, D(C),DMC",  ,7,630.0,-,-,1,-,0.6,89.5,2.9,-,6.56
"Míchel MacedoCeara, 32, D(R)","168Míchel MacedoCeara, 32, D(R)",  ,6(2),536.0,1,1,0.8,-,0.8,0.1,0.3,-,6.56,"168Míchel MacedoCeara, 32, D(R)",  ,6(2),536.0,-,1,0.5,0.3,0.3,1.4,-,0.3,0.6,6.56,"168Míchel MacedoCeara, 32, D(R)",  ,6(2),536.0,1,0.3,28.3,77.9,0.4,0.5,-,6.56,"168Míchel MacedoCeara, 32, D(R)",  ,6(2),536.0,-,1,1,-,0.5,77.9,1.6,-,6.56
"Dadá BelmonteGoias, 25, M(L)","169Dadá BelmonteGoias, 25, M(L)",  ,9(1),737.0,1.2,0.7,1.8,-,0.4,1,-,-,6.56,"169Dadá BelmonteGoias, 25, M(L)",  ,9(1),737.0,1,1,1.3,1.1,1.2,2,0.3,2.6,2.4,6.56,"169Dadá BelmonteGoias, 25, M(L)",  ,9(1),737.0,1,1.1,15.6,73.7,0.4,0.5,-,6.56,"169Dadá BelmonteGoias, 25, M(L)",  ,9(1),737.0,1,1,3,-,1.3,73.7,0.1,-,6.56
"Raúl CáceresAmerica MG, 30, D(R)","171Raúl CáceresAmerica MG, 30, D(R)",  ,3(2),291.0,1,0.8,1,0.2,1.6,1.6,0.6,-,6.56,"171Raúl CáceresAmerica MG, 30, D(R)",  ,3(2),291.0,1,-,0.8,0.4,-,-,0.2,-,1,6.56,"171Raúl CáceresAmerica MG, 30, D(R)",  ,3(2),291.0,-,0.4,20.2,62.4,0.2,1,-,6.56,"171Raúl CáceresAmerica MG, 30, D(R)",  ,3(2),291.0,1,-,-,-,0.8,62.4,1.2,-,6.56
"PedrinhoAthletico Paranaense, 20, Defender","172PedrinhoAthletico Paranaense, 20, Defender",  ,4(2),406.0,0.7,1.3,0.8,0.3,2.5,0.8,-,-,6.55,"172PedrinhoAthletico Paranaense, 20, Defender",  ,4(2),406.0,-,1,0.2,0.5,0.8,0.5,-,0.3,1,6.55,"172PedrinhoAthletico Paranaense, 20, Defender",  ,4(2),406.0,1,0.5,18.8,70.8,0.3,1,-,6.55,"172PedrinhoAthletico Paranaense, 20, Defender",  ,4(2),406.0,-,1,1,-,0.2,70.8,0.7,-,6.55
"CaetanoGoias, 23, D(C)","173CaetanoGoias, 23, D(C)",  ,8,699.0,1.3,1.3,0.8,0.3,3.9,0.6,0.6,-,6.55,"173CaetanoGoias, 23, D(C)",  ,8,699.0,-,-,0.1,0.4,0.1,0.3,-,-,0.5,6.55,"173CaetanoGoias, 23, D(C)",  ,8,699.0,-,0.4,35.6,84.6,-,4.4,-,6.55,"173CaetanoGoias, 23, D(C)",  ,8,699.0,-,-,1,-,0.1,84.6,0.5,-,6.55
"ChicoJuventude, 31, AM(CLR)","174ChicoJuventude, 31, AM(CLR)",  ,6(3),544.0,1.6,0.6,1.8,-,0.9,0.3,0.1,-,6.55,"174ChicoJuventude, 31, AM(CLR)",  ,6(3),544.0,-,1,1.2,1,0.7,2.6,-,0.9,1.4,6.55,"174ChicoJuventude, 31, AM(CLR)",  ,6(3),544.0,1,1,19.8,81.5,0.7,1,-,6.55,"174ChicoJuventude, 31, AM(CLR)",  ,6(3),544.0,-,1,1,1,1.2,81.5,0.7,1,6.55
"Matheus FernandesAthletico Paranaense, 24, DMC","175Matheus FernandesAthletico Paranaense, 24, DMC",  ,6(1),462.0,2.1,0.6,0.9,-,1.4,2.1,0.1,-,6.55,"175Matheus FernandesAthletico Paranaense, 24, DMC",  ,6(1),462.0,-,-,0.7,0.9,0.9,0.4,-,0.7,1.1,6.55,"175Matheus FernandesAthletico Paranaense, 24, DMC",  ,6(1),462.0,-,0.9,24.7,85.0,-,1.3,-,6.55,"175Matheus FernandesAthletico Paranaense, 24, DMC",  ,6(1),462.0,-,-,1,-,0.7,85.0,0.4,-,6.55
"RafinhaSao Paulo, 36, D(CLR),M(R)","176RafinhaSao Paulo, 36, D(CLR),M(R)",  ,8(1),724.0,1.6,0.9,0.9,0.4,1.8,0.9,0.2,-,6.55,"176RafinhaSao Paulo, 36, D(CLR),M(R)",  ,8(1),724.0,-,2,0.1,0.4,0.1,0.8,-,-,0.6,6.55,"176RafinhaSao Paulo, 36, D(CLR),M(R)",  ,8(1),724.0,2,0.4,47.9,83.3,0.2,4.4,-,6.55,"176RafinhaSao Paulo, 36, D(CLR),M(R)",  ,8(1),724.0,-,2,2,-,0.1,83.3,1.1,-,6.55
"ErickCeara, 24, AM(LR)","177ErickCeara, 24, AM(LR)",  ,3(4),299.0,0.3,0.1,0.3,-,0.3,0.6,-,-,6.54,"177ErickCeara, 24, AM(LR)",  ,3(4),299.0,-,-,1.7,1.7,1.4,0.7,0.3,0.6,0.9,6.54,"177ErickCeara, 24, AM(LR)",  ,3(4),299.0,-,1.7,16.7,75.2,0.4,1.6,0.1,6.54,"177ErickCeara, 24, AM(LR)",  ,3(4),299.0,-,-,2,-,1.7,75.2,0.1,-,6.54
"Germán CanoFluminense, 34, FW","178Germán CanoFluminense, 34, FW",  ,10(1),850.0,0.5,0.1,0.7,-,0.5,0.5,0.2,-,6.54,"178Germán CanoFluminense, 34, FW",  ,10(1),850.0,2,1,1.9,0.5,0.3,0.3,0.5,0.5,0.8,6.54,"178Germán CanoFluminense, 34, FW",  ,10(1),850.0,1,0.5,12.7,79.3,-,0.3,-,6.54,"178Germán CanoFluminense, 34, FW",  ,10(1),850.0,2,1,-,-,1.9,79.3,0.7,-,6.54
"Fellipe BastosGoias, 32, DMC","179Fellipe BastosGoias, 32, DMC",  ,4(6),453.0,1.4,0.6,1.1,-,1,1.1,0.1,-,6.54,"179Fellipe BastosGoias, 32, DMC",  ,4(6),453.0,-,1,1.1,1,0.4,0.6,-,0.1,0.7,6.54,"179Fellipe BastosGoias, 32, DMC",  ,4(6),453.0,1,1,32.6,86.2,0.4,3,-,6.54,"179Fellipe BastosGoias, 32, DMC",  ,4(6),453.0,-,1,4,-,1.1,86.2,0.7,-,6.54
"Rodrigo CaioFlamengo, 28, D(CR),DMC","180Rodrigo CaioFlamengo, 28, D(CR),DMC",  ,5(1),406.0,1,1.2,0.3,0.5,2.2,0.3,1,-,6.54,"180Rodrigo CaioFlamengo, 28, D(CR),DMC",  ,5(1),406.0,-,-,0.3,-,-,0.3,-,-,-,6.54,"180Rodrigo CaioFlamengo, 28, D(CR),DMC",  ,5(1),406.0,-,-,44.7,91.8,-,1,-,6.54,"180Rodrigo CaioFlamengo, 28, D(CR),DMC",  ,5(1),406.0,-,-,-,-,0.3,91.8,1.3,-,6.54
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rafael RamosCorinthians, 27, D(R)","181Rafael RamosCorinthians, 27, D(R)",  ,4(2),417.0,1.8,1,0.8,0.3,0.8,1,0.2,-,6.54,"181Rafael RamosCorinthians, 27, D(R)",  ,4(2),417.0,-,-,0.2,0.7,1.2,0.7,-,0.3,0.5,6.54,"181Rafael RamosCorinthians, 27, D(R)",  ,4(2),417.0,-,0.7,34.5,77.3,0.5,2.5,-,6.54,"181Rafael RamosCorinthians, 27, D(R)",  ,4(2),417.0,-,-,1,-,0.2,77.3,0.7,-,6.54
"Ricardo BuenoJuventude, 35, FW","182Ricardo BuenoJuventude, 35, FW",  ,5(2),402.0,0.7,-,1,-,1.4,0.7,0.3,-,6.54,"182Ricardo BuenoJuventude, 35, FW",  ,5(2),402.0,1,-,0.6,0.7,0.7,2.6,0.3,1.3,3,6.54,"182Ricardo BuenoJuventude, 35, FW",  ,5(2),402.0,-,0.7,19.0,76.7,-,0.3,-,6.54,"182Ricardo BuenoJuventude, 35, FW",  ,5(2),402.0,1,-,3,-,0.6,76.7,2.4,-,6.54
"David TeransAthletico Paranaense, 28, AM(CL)","183David TeransAthletico Paranaense, 28, AM(CL)",  ,6(3),464.0,0.4,-,0.6,-,-,0.6,-,-,6.53,"183David TeransAthletico Paranaense, 28, AM(CL)",  ,6(3),464.0,2,1,1.2,1.6,0.8,0.6,0.2,0.3,1.8,6.53,"183David TeransAthletico Paranaense, 28, AM(CL)",  ,6(3),464.0,1,1.6,15.8,76.1,0.9,0.6,-,6.53,"183David TeransAthletico Paranaense, 28, AM(CL)",  ,6(3),464.0,2,1,1,-,1.2,76.1,0.2,-,6.53
"CamachoSantos FC, 32, DMC","184CamachoSantos FC, 32, DMC",  ,4(2),354.0,2.2,1,1.2,-,0.3,1.3,0.7,-,6.53,"184CamachoSantos FC, 32, DMC",  ,4(2),354.0,-,-,-,0.5,0.2,0.2,-,0.2,0.2,6.53,"184CamachoSantos FC, 32, DMC",  ,4(2),354.0,-,0.5,37.0,86.0,-,0.5,-,6.53,"184CamachoSantos FC, 32, DMC",  ,4(2),354.0,-,-,-,-,-,86.0,1,-,6.53
"Patrick de PaulaBotafogo RJ, 22, DMC","185Patrick de PaulaBotafogo RJ, 22, DMC",  ,6(1),505.0,0.6,1.1,0.6,-,0.4,1.1,0.3,-,6.53,"185Patrick de PaulaBotafogo RJ, 22, DMC",  ,6(1),505.0,-,-,1.4,-,0.9,1.3,-,0.9,1.1,6.53,"185Patrick de PaulaBotafogo RJ, 22, DMC",  ,6(1),505.0,-,-,29.9,75.1,-,2.6,-,6.53,"185Patrick de PaulaBotafogo RJ, 22, DMC",  ,6(1),505.0,-,-,1,-,1.4,75.1,1,-,6.53
"JuninhoAmerica MG, 34, D(L),M(CR)","186JuninhoAmerica MG, 34, D(L),M(CR)",  ,10,871.0,1.2,0.8,0.6,-,1.2,0.5,0.8,-,6.53,"186JuninhoAmerica MG, 34, D(L),M(CR)",  ,10,871.0,-,-,0.3,1.1,1.4,0.6,0.1,1.2,1.5,6.53,"186JuninhoAmerica MG, 34, D(L),M(CR)",  ,10,871.0,-,1.1,28.6,76.6,0.3,1.4,-,6.53,"186JuninhoAmerica MG, 34, D(L),M(CR)",  ,10,871.0,-,-,2,-,0.3,76.6,0.6,-,6.53
"Fábio SantosCorinthians, 36, D(L)","187Fábio SantosCorinthians, 36, D(L)",  ,4(2),340.0,0.5,0.7,0.3,0.2,2.2,0.3,-,-,6.53,"187Fábio SantosCorinthians, 36, D(L)",  ,4(2),340.0,2,-,0.3,0.2,0.2,0.3,-,0.2,0.5,6.53,"187Fábio SantosCorinthians, 36, D(L)",  ,4(2),340.0,-,0.2,36.7,84.5,0.2,0.5,-,6.53,"187Fábio SantosCorinthians, 36, D(L)",  ,4(2),340.0,2,-,1,-,0.3,84.5,0.5,1,6.53
"João CardosoInternacional, 20, DMC","188João CardosoInternacional, 20, DMC",  ,4(2),347.0,1.7,1.3,1.2,-,0.8,1.3,0.2,-,6.53,"188João CardosoInternacional, 20, DMC",  ,4(2),347.0,1,-,0.8,0.5,0.8,0.3,-,1.3,1.5,6.53,"188João CardosoInternacional, 20, DMC",  ,4(2),347.0,-,0.5,27.2,85.9,0.2,0.5,-,6.53,"188João CardosoInternacional, 20, DMC",  ,4(2),347.0,1,-,1,-,0.8,85.9,1.3,-,6.53
"AlissonSao Paulo, 29, AM(CLR)","189AlissonSao Paulo, 29, AM(CLR)",  ,4(1),369.0,1.6,0.6,2,-,0.2,1.4,0.2,-,6.53,"189AlissonSao Paulo, 29, AM(CLR)",  ,4(1),369.0,-,1,1,0.4,0.6,1.4,-,1.6,1,6.53,"189AlissonSao Paulo, 29, AM(CLR)",  ,4(1),369.0,1,0.4,24.0,81.7,-,0.4,-,6.53,"189AlissonSao Paulo, 29, AM(CLR)",  ,4(1),369.0,-,1,2,-,1,81.7,1,-,6.53
"PatricAmerica MG, 33, D(LR),M(R)","191PatricAmerica MG, 33, D(LR),M(R)",  ,8(2),745.0,1.9,0.6,1.1,0.1,2.6,0.8,-,-,6.53,"191PatricAmerica MG, 33, D(LR),M(R)",  ,8(2),745.0,-,-,0.8,1.6,0.4,0.8,0.1,0.9,1.4,6.53,"191PatricAmerica MG, 33, D(LR),M(R)",  ,8(2),745.0,-,1.6,35.2,73.3,1.5,1.7,-,6.53,"191PatricAmerica MG, 33, D(LR),M(R)",  ,8(2),745.0,-,-,2,-,0.8,73.3,0.8,-,6.53
"RubensAtletico MG, 21, D(L)","192RubensAtletico MG, 21, D(L)",  ,4(5),425.0,2.7,0.6,1.7,-,0.9,1.1,-,-,6.53,"192RubensAtletico MG, 21, D(L)",  ,4(5),425.0,-,-,0.8,0.7,1.1,0.1,-,0.7,1.1,6.53,"192RubensAtletico MG, 21, D(L)",  ,4(5),425.0,-,0.7,14.8,74.4,0.3,0.7,-,6.53,"192RubensAtletico MG, 21, D(L)",  ,4(5),425.0,-,-,2,-,0.8,74.4,0.7,1,6.53
"Fabricio BustosInternacional, 26, D(R)","193Fabricio BustosInternacional, 26, D(R)",  ,8,682.0,1.5,0.8,0.5,0.4,1.5,0.5,0.3,-,6.52,"193Fabricio BustosInternacional, 26, D(R)",  ,8,682.0,-,-,0.6,0.6,0.1,0.4,0.1,0.6,0.8,6.52,"193Fabricio BustosInternacional, 26, D(R)",  ,8,682.0,-,0.6,38.6,79.9,0.1,1.1,-,6.52,"193Fabricio BustosInternacional, 26, D(R)",  ,8,682.0,-,-,-,-,0.6,79.9,0.1,-,6.52
"ReinaldoSao Paulo, 32, D(L),M(L)","194ReinaldoSao Paulo, 32, D(L),M(L)",  ,4(4),317.0,0.6,0.1,0.4,0.1,0.6,0.3,0.1,-,6.52,"194ReinaldoSao Paulo, 32, D(L),M(L)",  ,4(4),317.0,1,1,0.4,1.3,0.6,0.4,-,0.5,0.4,6.52,"194ReinaldoSao Paulo, 32, D(L),M(L)",  ,4(4),317.0,1,1.3,15.8,73.0,1,0.5,0.1,6.52,"194ReinaldoSao Paulo, 32, D(L),M(L)",  ,4(4),317.0,1,1,1,-,0.4,73.0,0.1,1,6.52
"RwanSantos FC, 21, Forward","195RwanSantos FC, 21, Forward",  ,2(3),221.0,0.4,0.2,1.6,-,-,0.4,-,-,6.52,"195RwanSantos FC, 21, Forward",  ,2(3),221.0,1,-,1.6,0.6,0.4,1.4,0.2,1.2,3,6.52,"195RwanSantos FC, 21, Forward",  ,2(3),221.0,-,0.6,10.8,77.8,-,0.4,-,6.52,"195RwanSantos FC, 21, Forward",  ,2(3),221.0,1,-,1,-,1.6,77.8,1.4,-,6.52
"PedrinhoAmerica MG, 22, AM(CL)","196PedrinhoAmerica MG, 22, AM(CL)",  ,4(5),428.0,0.7,0.4,0.6,-,0.4,0.9,-,-,6.52,"196PedrinhoAmerica MG, 22, AM(CL)",  ,4(5),428.0,1,-,1.8,0.8,1.8,0.7,0.2,1.3,1.4,6.52,"196PedrinhoAmerica MG, 22, AM(CL)",  ,4(5),428.0,-,0.8,14.0,77.0,0.2,1,-,6.52,"196PedrinhoAmerica MG, 22, AM(CL)",  ,4(5),428.0,1,-,2,-,1.8,77.0,0.2,1,6.52
"Gabriel LacerdaCeara, 22, D(C)","197Gabriel LacerdaCeara, 22, D(C)",  ,5(3),562.0,1.1,0.6,0.6,0.1,3.6,0.3,0.5,-,6.52,"197Gabriel LacerdaCeara, 22, D(C)",  ,5(3),562.0,-,-,0.6,-,-,-,-,0.3,0.5,6.52,"197Gabriel LacerdaCeara, 22, D(C)",  ,5(3),562.0,-,-,30.3,77.3,-,2.3,-,6.52,"197Gabriel LacerdaCeara, 22, D(C)",  ,5(3),562.0,-,-,-,-,0.6,77.3,2.3,-,6.52
"AbnerAthletico Paranaense, 22, D(L),M(L)","198AbnerAthletico Paranaense, 22, D(L),M(L)",  ,8(2),710.0,1,1.4,0.6,-,2.1,0.3,0.3,-,6.52,"198AbnerAthletico Paranaense, 22, D(L),M(L)",  ,8(2),710.0,-,-,0.4,0.8,0.1,0.6,-,0.4,0.3,6.52,"198AbnerAthletico Paranaense, 22, D(L),M(L)",  ,8(2),710.0,-,0.8,36.1,81.2,0.3,2.1,0.1,6.52,"198AbnerAthletico Paranaense, 22, D(L),M(L)",  ,8(2),710.0,-,-,2,-,0.4,81.2,0.6,-,6.52
"PatrickSao Paulo, 30, M(CL)","199PatrickSao Paulo, 30, M(CL)",  ,4(3),395.0,2.7,0.6,0.9,-,0.4,1.4,0.1,-,6.52,"199PatrickSao Paulo, 30, M(CL)",  ,4(3),395.0,-,-,0.9,0.6,0.7,1.3,0.1,1.6,2.3,6.52,"199PatrickSao Paulo, 30, M(CL)",  ,4(3),395.0,-,0.6,20.1,78.0,0.4,0.1,0.1,6.52,"199PatrickSao Paulo, 30, M(CL)",  ,4(3),395.0,-,-,1,-,0.9,78.0,1.3,-,6.52
"HaynerAtletico GO, 26, D(R)","200HaynerAtletico GO, 26, D(R)",  ,7(2),676.0,1,1.6,1.6,-,2.3,0.7,0.3,-,6.51,"200HaynerAtletico GO, 26, D(R)",  ,7(2),676.0,-,-,0.1,0.4,1.3,1.4,0.3,0.2,2.4,6.51,"200HaynerAtletico GO, 26, D(R)",  ,7(2),676.0,-,0.4,23.1,78.4,0.4,1.7,-,6.51,"200HaynerAtletico GO, 26, D(R)",  ,7(2),676.0,-,-,4,-,0.1,78.4,1,-,6.51
"Lucas KalAmerica MG, 26, D(CL),DMC","201Lucas KalAmerica MG, 26, D(CL),DMC",  ,10,815.0,1,0.8,0.8,0.1,1.8,1.2,0.6,-,6.51,"201Lucas KalAmerica MG, 26, D(CL),DMC",  ,10,815.0,-,-,0.9,0.4,0.4,0.3,-,0.4,0.7,6.51,"201Lucas KalAmerica MG, 26, D(CL),DMC",  ,10,815.0,-,0.4,35.0,72.6,-,2,-,6.51,"201Lucas KalAmerica MG, 26, D(CL),DMC",  ,10,815.0,-,-,2,-,0.9,72.6,1.6,-,6.51
