,J,J,J,J,J,J,J,J,J,J,J,J,J,o,o,o,o,o,o,o,o,o,o,o,o,o,g,g,g,g,g,g,g,g,g,g,g,g,g,g,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,o,o,o,o,o,o,o,o,o,o,o,o,r,r,r,r,r,r,r,r,r,r,r,r
,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador
320,  ,6(5),520.0,0.7,0.3,0.5,-,0.3,0.4,-,-,6.28,"RodriguinhoCuiaba, 34, M(CL),FW",  ,10(6),749.0,0.6,-,1.2,-,0.3,0.4,0.1,-,6.34,"DavidInternacional, 26, AM(CLR),FW",  ,2(3),209.0,-,1,0.8,1,1,1,-,1,1.2,6.37,"EdinhoJuventude, 28, AM(LR)",  ,6(5),520.0,-,-,1.6,0.4,0.6,1,0.2,1,1.9,6.28,"RodriguinhoCuiaba, 34, M(CL),FW",  ,10(6),749.0,-,2,0.9,0.3,0.7,1,0.3,0.8,1.4,6.34,"DavidInternacional, 26, AM(CLR),FW",  ,2(3),209.0,1,1,11.6,86.2,0.4,0.2,-,6.37,"EdinhoJuventude, 28, AM(LR)",  ,6(5),520.0,-,0.4,15.4,81.7,-,0.8,-,6.28,"RodriguinhoCuiaba, 34, M(CL),FW"
321,  ,1(4),163.0,0.2,-,0.6,-,0.6,0.2,-,-,6.28,"Matheus PeixotoCeara, 26, FW",  ,6(11),670.0,0.3,0.1,0.8,-,0.2,0.4,-,-,6.33,"Adrián MartínezCoritiba, 30, FW",  ,3(2),238.0,-,-,1.2,0.4,0.4,0.6,0.2,0.8,1,6.37,"NathanFluminense, 26, M(CL)",  ,1(4),163.0,-,1,0.2,0.4,-,1,0.6,-,1.2,6.28,"Matheus PeixotoCeara, 26, FW",  ,6(11),670.0,4,1,1.1,0.6,0.3,0.4,0.2,0.6,1.2,6.33,"Adrián MartínezCoritiba, 30, FW",  ,3(2),238.0,-,0.4,21.4,83.2,0.2,0.2,-,6.37,"NathanFluminense, 26, M(CL)",  ,1(4),163.0,1,0.4,7.8,66.7,-,-,-,6.28,"Matheus PeixotoCeara, 26, FW"
322,  ,2(5),165.0,0.6,-,0.4,-,0.3,0.9,0.1,-,6.28,"DiegoFlamengo, 37, M(CLR)",  ,10(10),978.0,0.5,0.2,0.6,-,0.2,0.5,-,-,6.33,"RodriguinhoCuiaba, 34, M(CL),FW",  ,4(2),320.0,-,-,1.2,0.8,1.2,1.2,-,1.3,2.5,6.36,"CapixabaJuventude, 25, AM(LR)",  ,2(5),165.0,-,-,0.1,0.1,1,0.6,-,0.1,0.4,6.28,"DiegoFlamengo, 37, M(CLR)",  ,10(10),978.0,1,-,2,0.5,0.7,1,0.3,1.1,1.9,6.33,"RodriguinhoCuiaba, 34, M(CL),FW",  ,4(2),320.0,-,0.8,12.2,78.1,0.7,0.2,-,6.36,"CapixabaJuventude, 25, AM(LR)",  ,2(5),165.0,-,0.1,15.3,84.1,-,0.3,-,6.28,"DiegoFlamengo, 37, M(CLR)"
323,  ,4(3),369.0,0.7,-,0.9,-,-,1,-,-,6.28,"Lucas LimaFortaleza, 32, AM(CR)",  ,3(8),357.0,0.4,0.1,0.5,-,0.4,0.3,0.1,-,6.33,"Matheus PeixotoCeara, 26, FW",  ,2(4),194.0,-,-,1.7,0.7,0.3,0.5,0.2,0.5,0.5,6.36,"Matheus PeixotoCeara, 26, FW",  ,4(3),369.0,-,1,0.3,0.4,0.6,1,0.1,0.6,1.9,6.28,"Lucas LimaFortaleza, 32, AM(CR)",  ,3(8),357.0,-,1,1,0.5,0.2,0.7,0.4,0.3,0.8,6.33,"Matheus PeixotoCeara, 26, FW",  ,2(4),194.0,-,0.7,6.7,72.5,-,0.2,-,6.36,"Matheus PeixotoCeara, 26, FW",  ,4(3),369.0,1,0.4,20.7,81.4,0.4,1,-,6.28,"Lucas LimaFortaleza, 32, AM(CR)"
324,  ,6,428.0,1.2,0.2,0.3,0.2,0.3,1,0.3,1,6.28,"Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,10(5),718.0,0.3,0.1,1.1,-,0.3,0.5,-,-,6.33,"AndréCuiaba, 31, FW",  ,6(3),435.0,2,-,1.2,0.6,0.7,1.2,-,0.4,1.6,6.35,"AndréCuiaba, 31, FW",  ,6,428.0,-,-,1.5,0.3,0.5,1.7,-,1.7,0.8,6.28,"Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,10(5),718.0,3,-,0.9,0.3,0.5,1.3,0.1,0.4,1.7,6.33,"AndréCuiaba, 31, FW",  ,6(3),435.0,-,0.6,10.9,71.4,-,0.1,-,6.35,"AndréCuiaba, 31, FW",  ,6,428.0,-,0.3,19.7,71.2,-,0.8,-,6.28,"Léo BaptistãoSantos FC, 29, AM(CLR),FW"
325,  ,5(1),424.0,1.7,0.7,1.2,-,0.3,1.3,-,-,6.28,"Lucas PiresSantos FC, 21, D(L)",  ,3(9),435.0,1,0.3,0.5,-,0.1,1.3,-,-,6.32,"SandrySantos FC, 19, DMC",  ,1(5),224.0,-,-,-,-,0.5,0.8,-,-,1,6.35,"NatanaelCoritiba, 20, D(R)",  ,5(1),424.0,-,-,0.8,1.2,0.7,1,-,1,1,6.28,"Lucas PiresSantos FC, 21, D(L)",  ,3(9),435.0,-,1,0.3,0.8,0.2,0.4,-,0.2,0.2,6.32,"SandrySantos FC, 19, DMC",  ,1(5),224.0,-,-,15.2,75.8,0.5,0.2,-,6.35,"NatanaelCoritiba, 20, D(R)",  ,5(1),424.0,-,1.2,30.3,71.4,1.8,0.7,-,6.28,"Lucas PiresSantos FC, 21, D(L)"
326,  ,2(3),222.0,1.2,0.2,0.8,-,-,1.2,-,-,6.27,"ChayBotafogo RJ, 31, Forward",  ,2(10),284.0,0.8,0.6,0.5,0.1,0.3,0.3,0.1,-,6.32,"Arthur HenriqueAtletico GO, 28, D(L),M(L)",  ,3(2),280.0,-,-,1.6,0.2,1,0.2,0.2,1.6,2,6.35,"VitinhoAthletico Paranaense, 23, AM(L)",  ,2(3),222.0,-,-,1,-,1.6,0.8,-,1.2,0.6,6.27,"ChayBotafogo RJ, 31, Forward",  ,2(10),284.0,-,-,0.1,0.6,1.1,0.3,-,0.4,0.9,6.32,"Arthur HenriqueAtletico GO, 28, D(L),M(L)",  ,3(2),280.0,-,0.2,18.0,75.6,-,0.2,-,6.35,"VitinhoAthletico Paranaense, 23, AM(L)",  ,2(3),222.0,-,-,16.8,84.5,-,1,-,6.27,"ChayBotafogo RJ, 31, Forward"
327,  ,3(3),305.0,1,0.5,1.2,-,0.3,0.8,-,-,6.27,"VitinhoAthletico Paranaense, 23, AM(L)",  ,15(2),1178.0,1.5,0.9,1.8,-,0.4,1.2,0.3,-,6.32,"YuriJuventude, 28, D(C),DMC",  ,3(2),220.0,-,-,0.6,0.2,0.2,0.6,-,0.8,1.2,6.34,"Júnior MoraesCorinthians, 35, FW",  ,3(3),305.0,-,-,0.5,0.2,0.3,1.7,0.3,0.3,0.8,6.27,"VitinhoAthletico Paranaense, 23, AM(L)",  ,15(2),1178.0,-,-,0.6,0.6,0.5,0.3,-,0.4,0.8,6.32,"YuriJuventude, 28, D(C),DMC",  ,3(2),220.0,-,0.2,7.2,77.8,-,-,-,6.34,"Júnior MoraesCorinthians, 35, FW",  ,3(3),305.0,-,0.2,12.8,79.2,0.3,0.3,-,6.27,"VitinhoAthletico Paranaense, 23, AM(L)"
328,,,,,,,,,,,,,Erro:502,  ,0(14),213.0,0.2,0.1,0.4,-,-,0.3,0.1,-,6.31,"Eduard AtuestaPalmeiras, 25, DMC",  ,5(6),516.0,1,-,1.5,0.2,0.1,0.9,0.2,0.3,0.8,6.34,"Diego ChurínAtletico GO, 32, FW",,,,,,,,,,,,,,Erro:502,  ,0(14),213.0,1,-,0.5,0.5,0.5,0.2,0.1,0.3,0.4,6.31,"Eduard AtuestaPalmeiras, 25, DMC",  ,5(6),516.0,-,0.2,12.7,64.3,0.1,0.1,-,6.34,"Diego ChurínAtletico GO, 32, FW",,,,,,,,,,,,Erro:502
329,,,,,,,,,,,,,Erro:502,  ,3(7),422.0,1.1,0.8,0.3,0.1,0.9,0.9,-,-,6.31,"NatanaelCoritiba, 20, D(R)",,,,,,,,,,,,,,Erro:502,,,,,,,,,,,,,,Erro:502,  ,3(7),422.0,-,-,0.1,-,0.5,1,-,0.4,0.7,6.31,"NatanaelCoritiba, 20, D(R)",,,,,,,,,,,,Erro:502,,,,,,,,,,,,Erro:502
330,  ,3(8),466.0,1.3,0.5,1.3,-,0.1,0.9,0.2,-,6.27,"Léo PereiraAtletico GO, 22, AM(LR)",  ,13(1),1047.0,0.9,0.7,1.4,-,0.4,0.6,-,-,6.31,"Tchê TchêBotafogo RJ, 29, M(CR)",,,,,,,,,,,,,,Erro:502,  ,3(8),466.0,-,1,1,0.4,0.7,1,0.2,1,1.3,6.27,"Léo PereiraAtletico GO, 22, AM(LR)",  ,13(1),1047.0,-,-,0.7,0.6,0.3,1.2,-,0.2,0.7,6.31,"Tchê TchêBotafogo RJ, 29, M(CR)",,,,,,,,,,,,Erro:502,  ,3(8),466.0,1,0.4,8.1,67.4,0.2,0.2,-,6.27,"Léo PereiraAtletico GO, 22, AM(LR)"
331,  ,1(5),155.0,-,0.2,0.7,0.2,0.5,-,-,-,6.26,"JenisonCuiaba, 31, FW",  ,6(5),585.0,0.6,0.4,0.8,-,0.3,0.8,-,-,6.3,"VitinhoAthletico Paranaense, 23, AM(L)",  ,3(3),233.0,-,-,0.7,0.2,1,1,0.2,0.7,0.7,6.32,"Luan DiasGoias, 25, Forward",  ,1(5),155.0,1,-,0.7,0.2,0.2,0.2,-,0.5,1.2,6.26,"JenisonCuiaba, 31, FW",  ,6(5),585.0,-,-,1,0.2,0.6,1,0.3,0.9,1.4,6.3,"VitinhoAthletico Paranaense, 23, AM(L)",  ,3(3),233.0,-,0.2,11.0,80.3,0.2,0.3,-,6.32,"Luan DiasGoias, 25, Forward",  ,1(5),155.0,-,0.2,6.5,66.7,-,0.3,-,6.26,"JenisonCuiaba, 31, FW"
332,  ,0(5),118.0,1.4,0.2,0.6,-,0.6,0.2,-,-,6.26,"Arthur HenriqueAtletico GO, 28, D(L),M(L)",  ,4(10),409.0,0.3,-,0.1,-,0.2,0.4,0.1,-,6.3,"Bryan AnguloSantos FC, 26, Forward",  ,4(4),428.0,-,-,1.1,0.9,0.6,0.1,0.1,0.4,0.6,6.31,"ShaylonAtletico GO, 25, D(R),M(CR)",  ,0(5),118.0,-,-,-,0.6,1.2,0.4,-,0.2,0.8,6.26,"Arthur HenriqueAtletico GO, 28, D(L),M(L)",  ,4(10),409.0,2,1,0.7,0.4,0.1,0.4,0.1,0.5,0.3,6.3,"Bryan AnguloSantos FC, 26, Forward",  ,4(4),428.0,-,0.9,23.8,84.7,0.9,1,-,6.31,"ShaylonAtletico GO, 25, D(R),M(CR)",  ,0(5),118.0,-,0.6,13.4,88.1,-,0.2,-,6.26,"Arthur HenriqueAtletico GO, 28, D(L),M(L)"
333,  ,3(6),281.0,0.4,0.1,0.9,0.1,0.4,0.9,0.1,-,6.26,"LázaroFlamengo, 20, Forward",  ,9(4),670.0,1,1,1.1,0.2,1.1,0.3,0.1,-,6.29,"Guilherme BiroCoritiba, 22, D(L)",  ,4(4),362.0,-,1,0.4,0.3,0.1,0.3,-,0.1,0.5,6.31,"RoniCorinthians, 23, M(C)",  ,3(6),281.0,1,-,0.8,0.4,0.7,0.6,0.1,0.8,1.3,6.26,"LázaroFlamengo, 20, Forward",  ,9(4),670.0,-,-,0.2,0.5,0.4,0.2,-,0.3,0.5,6.29,"Guilherme BiroCoritiba, 22, D(L)",  ,4(4),362.0,1,0.3,19.6,82.2,-,0.9,-,6.31,"RoniCorinthians, 23, M(C)",  ,3(6),281.0,-,0.4,11.4,73.8,0.1,0.3,-,6.26,"LázaroFlamengo, 20, Forward"
334,  ,3(5),323.0,1.1,-,1,-,1.3,0.4,0.3,-,6.26,"Pablo MaiaSao Paulo, 20, DMC",  ,6(13),839.0,0.9,0.4,1.3,-,0.2,0.8,0.1,-,6.28,"Léo PereiraAtletico GO, 22, AM(LR)",  ,2(4),261.0,-,-,0.3,0.7,0.2,0.5,-,0.3,-,6.31,"CamachoSantos FC, 32, DMC",  ,3(5),323.0,-,-,0.1,0.1,0.3,0.6,-,0.1,0.4,6.26,"Pablo MaiaSao Paulo, 20, DMC",  ,6(13),839.0,1,1,0.9,0.6,0.7,0.9,0.1,1,1.5,6.28,"Léo PereiraAtletico GO, 22, AM(LR)",  ,2(4),261.0,-,0.7,26.2,87.9,-,1.3,-,6.31,"CamachoSantos FC, 32, DMC",  ,3(5),323.0,-,0.1,23.0,87.0,-,1,-,6.26,"Pablo MaiaSao Paulo, 20, DMC"
335,  ,1(4),145.0,0.4,-,0.4,-,0.2,-,-,-,6.26,"Zé RobertoCeara, 28, FW",  ,4(9),372.0,0.8,0.3,0.5,-,0.6,0.2,0.2,-,6.28,"Edson FernandoAtletico GO, 24, DMC",  ,2(4),137.0,-,-,-,0.7,0.3,0.5,-,0.5,0.8,6.31,"Jean CléberAvai FC, 32, M(C)",  ,1(4),145.0,-,-,0.6,0.8,0.6,1.6,-,0.2,1.4,6.26,"Zé RobertoCeara, 28, FW",  ,4(9),372.0,-,-,0.1,0.1,0.3,1,-,0.2,0.3,6.28,"Edson FernandoAtletico GO, 24, DMC",  ,2(4),137.0,-,0.7,12.3,81.1,-,1.3,0.2,6.31,"Jean CléberAvai FC, 32, M(C)",  ,1(4),145.0,-,0.8,8.6,83.7,-,0.4,-,6.26,"Zé RobertoCeara, 28, FW"
336,  ,9,810.0,1.1,0.6,1.1,-,1.7,0.9,0.6,-,6.25,"Bruno CortezAvai FC, 35, D(L)",  ,8(5),634.0,0.2,0.6,1.2,0.2,0.7,0.7,-,2,6.28,"Matheus JussaFortaleza, 26, D(C),DMC",  ,3(5),373.0,1,-,0.8,0.9,0.6,0.9,-,1,1.9,6.31,"Léo PereiraAtletico GO, 22, AM(LR)",  ,9,810.0,-,-,0.1,0.4,0.9,0.8,0.1,0.4,0.9,6.25,"Bruno CortezAvai FC, 35, D(L)",  ,8(5),634.0,-,1,0.8,0.6,0.6,-,0.1,0.2,0.8,6.28,"Matheus JussaFortaleza, 26, D(C),DMC",  ,3(5),373.0,-,0.9,9.9,75.9,0.4,-,-,6.31,"Léo PereiraAtletico GO, 22, AM(LR)",  ,9,810.0,-,0.4,41.6,77.5,0.2,2.1,-,6.25,"Bruno CortezAvai FC, 35, D(L)"
337,  ,4(4),387.0,0.6,0.4,1.1,-,0.3,0.5,0.5,-,6.25,"André LuisCuiaba, 25, AM(CR),FW",  ,2(12),463.0,0.5,0.1,0.9,-,0.6,0.3,-,-,6.27,"Léo CittadiniAthletico Paranaense, 28, M(CLR)",  ,8(1),685.0,-,-,0.8,0.8,0.2,1,-,0.3,0.7,6.3,"Tchê TchêBotafogo RJ, 29, M(CR)",  ,4(4),387.0,-,-,0.3,0.3,0.6,2.1,-,0.3,0.8,6.25,"André LuisCuiaba, 25, AM(CR),FW",  ,2(12),463.0,1,1,0.6,0.1,0.1,0.7,-,0.2,0.6,6.27,"Léo CittadiniAthletico Paranaense, 28, M(CLR)",  ,8(1),685.0,-,0.8,33.9,86.2,-,1.8,-,6.3,"Tchê TchêBotafogo RJ, 29, M(CR)",  ,4(4),387.0,-,0.3,9.3,79.7,0.3,-,-,6.25,"André LuisCuiaba, 25, AM(CR),FW"
338,  ,4(3),351.0,0.1,-,1.6,-,0.4,0.4,-,-,6.24,"Luo GuofuAmerica MG, 34, AM(LR),FW",  ,2(10),377.0,0.5,0.2,0.1,-,0.1,0.3,-,-,6.27,"Jean PyerreAvai FC, 24, AM(C)",  ,0(8),182.0,1,-,0.5,0.4,0.4,0.4,-,0.3,0.1,6.3,"Jean PyerreAvai FC, 24, AM(C)",  ,4(3),351.0,1,-,2.1,0.4,0.4,0.7,0.6,0.9,2.1,6.24,"Luo GuofuAmerica MG, 34, AM(LR),FW",  ,2(10),377.0,1,-,0.4,0.5,0.3,0.6,-,0.3,0.6,6.27,"Jean PyerreAvai FC, 24, AM(C)",  ,0(8),182.0,-,0.4,21.5,84.3,-,0.9,-,6.3,"Jean PyerreAvai FC, 24, AM(C)",  ,4(3),351.0,-,0.4,10.0,71.4,-,-,-,6.24,"Luo GuofuAmerica MG, 34, AM(LR),FW"
339,  ,0(5),74.0,0.2,-,0.6,0.2,-,0.2,-,-,6.24,"Emiliano RigoniSao Paulo, 29, M(CLR),FW",  ,3(12),488.0,0.5,-,1.4,-,0.8,0.5,0.1,-,6.26,"Vitor GabrielJuventude, 22, FW",  ,4(1),290.0,-,-,0.6,0.4,-,0.8,0.4,0.8,1.2,6.3,"MarceloAthletico Paranaense, 30, AM(CR),FW",  ,0(5),74.0,-,-,0.2,0.8,0.6,0.2,-,0.6,0.8,6.24,"Emiliano RigoniSao Paulo, 29, M(CLR),FW",  ,3(12),488.0,1,-,1.3,0.3,0.3,0.5,0.2,0.5,1.5,6.26,"Vitor GabrielJuventude, 22, FW",  ,4(1),290.0,-,0.4,8.6,60.5,0.2,0.2,-,6.3,"MarceloAthletico Paranaense, 30, AM(CR),FW",  ,0(5),74.0,-,0.8,6.8,67.6,0.8,0.6,-,6.24,"Emiliano RigoniSao Paulo, 29, M(CLR),FW"
340,,,,,,,,,,,,,Erro:502,  ,1(13),232.0,0.4,-,0.1,-,-,0.1,-,-,6.26,"Breno LopesPalmeiras, 26, AM(R)",  ,1(5),202.0,-,-,1,-,0.7,0.2,-,0.2,0.2,6.28,"Marcão SilvaCuiaba, 31, DMC",,,,,,,,,,,,,,Erro:502,  ,1(13),232.0,-,-,0.4,0.4,0.1,0.6,0.2,-,0.4,6.26,"Breno LopesPalmeiras, 26, AM(R)",  ,1(5),202.0,-,-,9.5,87.7,-,0.3,-,6.28,"Marcão SilvaCuiaba, 31, DMC",,,,,,,,,,,,Erro:502
341,  ,1(7),162.0,0.3,0.4,0.1,-,0.1,0.1,-,-,6.24,"WillianFluminense, 35, AM(CLR),FW",  ,6(9),554.0,0.9,0.6,0.7,-,0.2,0.1,0.2,-,6.26,"Jean CléberAvai FC, 32, M(C)",  ,6(2),417.0,-,-,0.4,0.6,0.5,0.1,-,0.3,0.5,6.28,"Guilherme BiroCoritiba, 22, D(L)",  ,1(7),162.0,1,-,0.3,0.3,0.3,-,0.1,0.4,1.3,6.24,"WillianFluminense, 35, AM(CLR),FW",  ,6(9),554.0,-,-,0.4,0.5,0.4,0.6,-,0.7,0.7,6.26,"Jean CléberAvai FC, 32, M(C)",  ,6(2),417.0,-,0.6,17.9,75.5,0.4,0.6,-,6.28,"Guilherme BiroCoritiba, 22, D(L)",  ,1(7),162.0,-,0.3,7.1,82.5,0.1,0.1,-,6.24,"WillianFluminense, 35, AM(CLR),FW"
342,  ,8,625.0,1.3,1,1.9,-,0.8,1,0.4,-,6.24,"YuriJuventude, 28, D(C),DMC",  ,4(6),301.0,1.1,0.7,0.5,-,0.2,0.5,0.1,-,6.25,"AuremirGoias, 30, D(R),DMC",  ,7(1),486.0,-,-,0.3,0.5,0.1,0.3,-,0.8,0.4,6.28,"William MatheusJuventude, 32, D(L),M(L)",  ,8,625.0,-,-,0.4,0.8,0.4,0.4,-,0.4,0.9,6.24,"YuriJuventude, 28, D(C),DMC",  ,4(6),301.0,-,-,0.3,0.1,0.1,0.1,-,0.2,0.7,6.25,"AuremirGoias, 30, D(R),DMC",  ,7(1),486.0,-,0.5,26.4,76.8,0.4,1.4,-,6.28,"William MatheusJuventude, 32, D(L),M(L)",  ,8,625.0,-,0.8,40.9,86.5,-,2.9,-,6.24,"YuriJuventude, 28, D(C),DMC"
343,  ,4(3),377.0,1.4,0.3,0.3,-,1.1,0.1,-,-,6.24,"Lucas PiazónBotafogo RJ, 28, AM(CLR),FW",  ,5(7),415.0,0.9,0.3,0.8,-,0.3,1,0.1,-,6.25,"Luan DiasGoias, 25, Forward",  ,4(2),340.0,-,-,1,0.5,-,0.3,-,0.2,0.5,6.27,"Rodrigo LindosoCeara, 33, DMC",  ,4(3),377.0,-,-,0.9,0.6,0.3,0.1,0.1,0.1,1.1,6.24,"Lucas PiazónBotafogo RJ, 28, AM(CLR),FW",  ,5(7),415.0,-,-,0.3,0.2,0.8,0.6,0.1,0.7,1.3,6.25,"Luan DiasGoias, 25, Forward",  ,4(2),340.0,-,0.5,30.2,86.7,-,1.5,-,6.27,"Rodrigo LindosoCeara, 33, DMC",  ,4(3),377.0,-,0.6,18.4,86.8,0.3,0.3,-,6.24,"Lucas PiazónBotafogo RJ, 28, AM(CLR),FW"
344,  ,3(4),302.0,-,-,0.3,-,0.4,0.4,-,-,6.24,"Gustavo MosquitoCorinthians, 24, AM(LR)",  ,1(10),237.0,0.5,0.2,0.5,0.1,0.2,0.4,-,-,6.24,"Emiliano RigoniSao Paulo, 29, M(CLR),FW",  ,2(7),259.0,-,-,1.2,0.1,0.4,0.8,-,0.2,1.1,6.27,"Matheus NascimentoBotafogo RJ, 18, FW",  ,3(4),302.0,-,1,0.3,0.9,0.7,0.9,-,0.4,1,6.24,"Gustavo MosquitoCorinthians, 24, AM(LR)",  ,1(10),237.0,-,-,0.5,0.5,0.4,0.3,-,0.5,0.8,6.24,"Emiliano RigoniSao Paulo, 29, M(CLR),FW",  ,2(7),259.0,-,0.1,4.7,69.0,-,0.2,-,6.27,"Matheus NascimentoBotafogo RJ, 18, FW",  ,3(4),302.0,1,0.9,13.0,79.1,0.7,-,-,6.24,"Gustavo MosquitoCorinthians, 24, AM(LR)"
345,  ,2(6),205.0,0.4,-,0.1,-,0.4,0.4,0.1,-,6.23,"Bryan AnguloSantos FC, 26, Forward",  ,7(9),751.0,0.4,0.3,0.4,-,0.3,0.4,0.1,-,6.24,"ShaylonAtletico GO, 25, D(R),M(CR)",  ,3(5),337.0,1,1,1.1,0.6,0.1,0.3,0.1,0.4,1.3,6.27,"Adrián MartínezCoritiba, 30, FW",  ,2(6),205.0,1,-,0.4,0.4,0.1,0.4,-,0.5,0.3,6.23,"Bryan AnguloSantos FC, 26, Forward",  ,7(9),751.0,-,-,1.1,0.8,0.5,0.2,0.1,0.3,0.6,6.24,"ShaylonAtletico GO, 25, D(R),M(CR)",  ,3(5),337.0,1,0.6,7.5,65.0,-,0.1,-,6.27,"Adrián MartínezCoritiba, 30, FW",  ,2(6),205.0,-,0.4,6.1,73.5,-,0.1,-,6.23,"Bryan AnguloSantos FC, 26, Forward"
346,  ,2(5),239.0,0.7,0.3,1,-,0.3,0.9,-,-,6.23,"MatheusinhoAmerica MG, 24, AM(CR)",  ,4(6),367.0,0.1,0.2,0.4,-,0.1,0.1,-,-,6.23,"EdinhoJuventude, 28, AM(LR)",  ,4(3),344.0,-,1,1.3,0.3,0.1,1,0.6,0.6,1,6.27,"DavidInternacional, 26, AM(CLR),FW",  ,2(5),239.0,-,-,0.4,0.7,1.1,0.6,0.1,0.3,1.4,6.23,"MatheusinhoAmerica MG, 24, AM(CR)",  ,4(6),367.0,-,1,0.5,0.9,0.7,0.7,-,0.9,0.7,6.23,"EdinhoJuventude, 28, AM(LR)",  ,4(3),344.0,1,0.3,11.0,80.5,-,0.1,-,6.27,"DavidInternacional, 26, AM(CLR),FW",  ,2(5),239.0,-,0.7,12.1,85.9,0.1,0.6,-,6.23,"MatheusinhoAmerica MG, 24, AM(CR)"
347,  ,10,757.0,1.1,0.9,0.3,-,0.7,1.1,0.1,1,6.23,"Marlon FreitasAtletico GO, 27, DMC",  ,1(11),381.0,0.3,0.5,0.9,0.3,0.7,0.6,0.3,-,6.23,"Felipe MeloFluminense, 39, D(C),M(C)",  ,3(4),204.0,-,-,0.6,0.7,0.3,0.6,-,-,0.6,6.27,"Ricardo GoulartSantos FC, 31, AM(CR),FW",  ,10,757.0,-,1,0.5,0.9,0.3,0.1,-,0.5,0.6,6.23,"Marlon FreitasAtletico GO, 27, DMC",  ,1(11),381.0,-,-,-,0.2,0.2,0.8,-,0.1,0.2,6.23,"Felipe MeloFluminense, 39, D(C),M(C)",  ,3(4),204.0,-,0.7,8.1,70.2,0.3,-,-,6.27,"Ricardo GoulartSantos FC, 31, AM(CR),FW",  ,10,757.0,1,0.9,53.2,87.0,-,4.4,0.1,6.23,"Marlon FreitasAtletico GO, 27, DMC"
348,  ,1(5),159.0,0.2,0.2,-,-,0.3,1,-,-,6.23,"Bruno OliveiraSantos FC, 24, Midfielder",  ,1(10),280.0,0.7,-,0.7,-,0.3,0.1,-,-,6.23,"Renato JúniorGoias, 20, Forward",  ,4(4),331.0,-,-,0.9,0.6,0.4,0.3,0.4,0.1,1.5,6.26,"ÉderSao Paulo, 35, AM(CLR),FW",  ,1(5),159.0,-,-,0.3,0.7,-,0.5,-,-,1,6.23,"Bruno OliveiraSantos FC, 24, Midfielder",  ,1(10),280.0,-,1,0.3,0.6,0.5,0.4,0.1,0.6,1.7,6.23,"Renato JúniorGoias, 20, Forward",  ,4(4),331.0,-,0.6,6.9,83.6,-,0.1,-,6.26,"ÉderSao Paulo, 35, AM(CLR),FW",  ,1(5),159.0,-,0.7,13.5,88.9,0.3,0.3,-,6.23,"Bruno OliveiraSantos FC, 24, Midfielder"
349,  ,1(6),204.0,0.3,0.3,1,-,0.1,0.6,0.1,-,6.23,"Carlos EduardoRed Bull Bragantino, 25, AM(CLR),FW",  ,4(13),519.0,0.4,0.1,0.6,0.1,0.3,0.4,0.1,-,6.23,"Matheus NascimentoBotafogo RJ, 18, FW",  ,6,359.0,-,-,0.7,0.2,0.3,0.3,-,0.5,0.8,6.26,"David BrazFluminense, 35, D(C)",  ,1(6),204.0,-,-,0.3,-,0.9,1.3,0.1,0.4,0.7,6.23,"Carlos EduardoRed Bull Bragantino, 25, AM(CLR),FW",  ,4(13),519.0,-,-,0.8,0.5,0.4,0.5,0.1,0.6,1.3,6.23,"Matheus NascimentoBotafogo RJ, 18, FW",  ,6,359.0,-,0.2,35.8,87.4,-,2.3,-,6.26,"David BrazFluminense, 35, D(C)",  ,1(6),204.0,-,-,6.4,71.1,0.1,0.6,-,6.23,"Carlos EduardoRed Bull Bragantino, 25, AM(CLR),FW"
